ACQ_CHARTAGENT,ACQ_CLASS_TYPE_DESC,ACQ_CNTYNAME,ACQ_CNTYNUM,ACQ_FDICREGION,ACQ_FDICREGION_DESC,ACQ_INSTNAME,ACQ_ORGTYPE_NUM,ACQ_ORG_EFF_DTE,ACQ_PADDR,ACQ_PCITY,ACQ_PSTALP,ACQ_PSTNUM,ACQ_PZIP5,ACQ_PZIPREST,ACQ_REGAGENT,CHANGECODE_DESC_LONG,EFFDATE,EFFYEAR,OUT_CNTYNAME,OUT_CNTYNUM,OUT_FDICREGION,OUT_FDICREGION_DESC,OUT_INSTNAME,OUT_ORGTYPE_NUM,OUT_PADDR,OUT_PCITY,OUT_PSTALP,OUT_PSTNUM,OUT_PZIP5,OUT_PZIPREST,OUT_REGAGENT,PROCYEAR,PSTALP,REGAGENT,SUR_CHARTAGENT,SUR_CNTYNAME,SUR_CNTYNUM,SUR_FDICREGION,SUR_FDICREGION_DESC,SUR_CNTYNUM,SUR_MADDR,SUR_MCITY,SUR_MSTALP,SUR_MSTATE,SUR_MZIP5,SUR_ORGTYPE_NUM,SUR_INSTNAME,SUR_PADDR,SUR_PCITY,SUR_PSTALP,SUR_PSTNUM,SUR_PZIP5,SUR_PZIPREST,SUR_REGAGENT,
OCC,Commercial,MERCER,85,2,NEW YORK,First National Bank of Pennsylvania,10,2006-03-31T00:00:00,166 MAIN STREET,GREENVILLE,PA,42,16125,0,OCC,"Merged and became part of First National Bank of Pennsylvania (7888) in Greenville, PA. ",2011-01-01T00:00:00,2011,LACKAWANNA,69,2,NEW YORK,Community Bank & Trust Company,10,125 NORTH STATE STREET,CLARKS SUMMIT,PA,42,18411,0,FED,2011,PA,OCC,OCC,MERCER,85,2,NEW YORK,First National Bank of Pennsylvania,166 MAIN STREET,GREENVILLE,PA,PENNSYLVANIA,16125,10,First National Bank of Pennsylvania,166 MAIN STREET,GREENVILLE,PA,42,16125,0,OCC,
STATE,Commercial,LIVINGSTON,105,9,CHICAGO,First State Bank of Forrest,10,2006-03-31T00:00:00,133 EAST KRACK STREET,FORREST,IL,17,61741,0,FDIC,"Merged and became part of First State Bank of Forrest (11669) in Forrest, IL. ",2011-01-01T00:00:00,2011,WHITESIDE,195,9,CHICAGO,Erie State Bank,10,915 8TH AVENUE,ERIE,IL,17,61250,0,FDIC,2011,IL,FDIC,STATE,LIVINGSTON,105,9,CHICAGO,First State Bank of Forrest,133 EAST KRACK STREET,FORREST,IL,ILLINOIS,61741,10,First State Bank of Forrest,133 EAST KRACK STREET,FORREST,IL,17,61741,0,FDIC,
STATE,Commercial,LIVINGSTON,105,9,CHICAGO,First State Bank of Forrest,10,2006-03-31T00:00:00,133 EAST KRACK STREET,FORREST,IL,17,61741,0,FDIC,"Merged and became part of First State Bank of Forrest (11669) in Forrest, IL. ",2011-01-01T00:00:00,2011,PEORIA,143,9,CHICAGO,The Heights Bank,10,4717 NORTH PROSPECT ROAD,PEORIA HEIGHTS,IL,17,61614,0,FDIC,2011,IL,FDIC,STATE,LIVINGSTON,105,9,CHICAGO,First State Bank of Forrest,133 EAST KRACK STREET,FORREST,IL,ILLINOIS,61741,10,First State Bank of Forrest,133 EAST KRACK STREET,FORREST,IL,17,61741,0,FDIC,
OCC,Commercial,TULSA,143,13,DALLAS,"BOKF, National Association",10,2011-01-01T00:00:00,ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,"Merged and became part of BOKF, National Association (4214) in Tulsa, OK. ",2011-01-01T00:00:00,2011,DALLAS,113,13,DALLAS,Bank of Texas.  National Association,10,"5956 SHERRY LN., STE 1100",DALLAS,TX,48,75225,0,OCC,2011,OK,OCC,OCC,TULSA,143,13,DALLAS,"BOKF, National Association",P.O. BOX  2300,TULSA,OK,OKLAHOMA,74121,10,"BOKF, National Association",ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,
NCUA,N/A,BEXAR,29,13,DALLAS,SELECT FEDERAL CREDIT UNION,140,2010-12-01T00:00:00,1914 PANAM EXPRESSWAY,SAN ANTONIO,TX,48,78208,1900,NCUA,"Merged and became part of SELECT FEDERAL CREDIT UNION (50573) in San Antonio, TX. The successor institution was not FDIC-insured.",2011-01-01T00:00:00,2011,BEXAR,29,13,DALLAS,TEXAS UNITED FEDERAL CREDIT UNION,140,1803 SOUTH PRESA,SAN ANTONIO,TX,48,78210,1613,NCUA,2011,TX,NCUA,NCUA,BEXAR,29,13,DALLAS,SELECT FEDERAL CREDIT UNION,1914 N INTERSTATE 35,SAN ANTONIO,TX,TEXAS,78208,140,SELECT FEDERAL CREDIT UNION,1914 PANAM EXPRESSWAY,SAN ANTONIO,TX,48,78208,1900,NCUA,
OCC,Commercial,VANDERBURGH,163,9,CHICAGO,Old National Bank,10,2009-03-20T00:00:00,1 MAIN STREET,EVANSVILLE,IN,18,47708,0,OCC,"Merged and became part of Old National Bank (3832) in Evansville, IN. ",2011-01-01T00:00:00,2011,MONROE,105,9,CHICAGO,Monroe Bank,10,210 EAST KIRKWOOD AVENUE,BLOOMINGTON,IN,18,47408,0,FDIC,2011,IN,OCC,OCC,VANDERBURGH,163,9,CHICAGO,Old National Bank,1 MAIN STREET,EVANSVILLE,IN,INDIANA,47708,10,Old National Bank,1 MAIN STREET,EVANSVILLE,IN,18,47708,0,OCC,
STATE,Commercial,WAKE,183,5,ATLANTA,First-Citizens Bank & Trust Company,10,2010-03-05T00:00:00,239 FAYETTEVILLE STREET,RALEIGH,NC,37,27601,0,FDIC,"Merged and became part of First-Citizens Bank & Trust Company (11063) in Raleigh, NC. ",2011-01-07T00:00:00,2011,LEE,71,5,ATLANTA,IronStone  Bank,115,13525 BELL TOWER DR,FORT MYERS,FL,12,33907,0,OTS,2011,NC,FDIC,STATE,WAKE,183,5,ATLANTA,First-Citizens Bank & Trust Company,4300 Six Forks Rd,Raleigh,NC,NORTH CAROLINA,27609,10,First-Citizens Bank & Trust Company,239 FAYETTEVILLE STREET,RALEIGH,NC,37,27601,0,FDIC,
STATE,Savings,BRISTOL,5,2,NEW YORK,Citizens-Union Savings Bank,115,2008-07-16T00:00:00,4 SOUTH MAIN STREET,FALL RIVER,MA,25,2721,0,FDIC,"Merged and became part of Citizens-Union Savings Bank (90196) in Fall River, MA. ",2011-01-01T00:00:00,2011,BRISTOL,5,2,NEW YORK,"Bank of Fall River, a Co-operative Bank",130,30 BEDFORD STREET,FALL RIVER,MA,25,2720,0,FED,2011,MA,FDIC,STATE,BRISTOL,5,2,NEW YORK,Citizens-Union Savings Bank,P.O.BOX 1311,FALL RIVER,MA,MASSACHUSETTS,2722,115,Citizens-Union Savings Bank,4 SOUTH MAIN STREET,FALL RIVER,MA,25,2721,0,FDIC,
STATE,Commercial,CHEROKEE,21,11,KANSAS CITY,The Baxter State Bank,10,2006-03-31T00:00:00,1401 MILITARY AVENUE,BAXTER SPRINGS,KS,20,66713,0,FDIC,"Merged and became part of The Baxter State Bank (12432) in Baxter Springs, KS. ",2011-01-15T00:00:00,2011,OTTAWA,115,11,KANSAS CITY,The Bank of Quapaw,10,338 MAIN STREET,QUAPAW,OK,40,74363,0,FDIC,2011,KS,FDIC,STATE,CHEROKEE,21,11,KANSAS CITY,The Baxter State Bank,P.O. BOX  71,BAXTER SPRINGS,KS,KANSAS,66713,10,The Baxter State Bank,1401 MILITARY AVENUE,BAXTER SPRINGS,KS,20,66713,0,FDIC,
STATE,Commercial,DUBOIS,37,9,CHICAGO,German American Bancorp,10,2010-05-07T00:00:00,711 MAIN STREET,JASPER,IN,18,47546,0,FDIC,"Merged and became part of German American Bancorp (17393) in Jasper, IN. ",2011-01-01T00:00:00,2011,VANDERBURGH,163,9,CHICAGO,Bank of Evansville,10,4424 VOGEL ROAD,EVANSVILLE,IN,18,47715,0,FED,2011,IN,FDIC,STATE,DUBOIS,37,9,CHICAGO,German American Bancorp,P.O. BOX  810,JASPER,IN,INDIANA,47546,10,German American Bancorp,711 MAIN STREET,JASPER,IN,18,47546,0,FDIC,
